 	cell_id	cell_coord_x	cell_coord_y	area	mean_ch2	std_ch2	min_ch2	max_ch2	bg_coord_ch2_x	bg_coord_ch2_y	bg_area_ch2	bg_mean_ch2	bg_std_ch2	bg_min_ch2	bg_max_ch2	area_h3	mean_ch3	std_ch3	min_ch3	max_ch3	bg_coord_ch3_x	bg_coord_ch3_y	bg_area_ch3	bg_mean_ch3	bg_std_ch3	bg_min_ch3	bg_max_ch3	Error	Comment
28	1772-066-262_C04	240	216	1121.552	1431.316	981.879	666	3882	190	266	1121.552	922.087	57.532	685	1063	1121.552	10.085	4.105	0	24	190	266	1121.552	10.128	4.306	0	25	0-No Error	No comment
29	1772-066-262_C05	210	216	1121.552	1887.134	1143.800	770	3883	160	266	1121.552	925.587	22.620	861	990	1121.552	160.679	577.577	0	3883	160	266	1121.552	9.954	4.220	0	27	0-No Error	No comment
30	1772-066-262_C06	240	217	1121.552	1618.420	1071.566	686	3882	190	267	1121.552	912.349	55.721	697	1035	1121.552	10.409	4.327	0	23	190	267	1121.552	10.130	4.208	0	26	0-No Error	No comment
31	1772-066-262_C07	214	218	1121.552	1593.358	1037.039	713	3883	164	268	1121.552	929.321	21.652	863	1020	1121.552	10.709	4.256	0	24	164	268	1121.552	10.063	4.144	0	24	0-No Error	No comment
32	1772-066-262_C08	247	217	1121.552	1566.684	1077.243	667	3882	197	267	1121.552	920.237	55.529	693	1072	1121.552	10.497	4.163	0	23	197	267	1121.552	9.777	4.109	0	21	0-No Error	No comment
33	1772-066-262_C09	218	218	1121.552	1605.648	1077.852	703	3883	168	268	1121.552	921.198	20.974	862	983	1121.552	10.007	4.283	0	25	168	268	1121.552	9.993	3.982	0	25	0-No Error	No comment
34	1772-066-262_C10	210	220	1121.552	1814.627	1122.341	707	3883	160	270	1121.552	922.880	21.456	850	989	1121.552	37.856	57.826	0	335	160	270	1121.552	9.683	4.023	0	24	0-No Error	No comment
35	1772-066-262_C11	243	221	1121.552	1171.682	587.996	621	3584	193	271	1121.552	918.923	56.415	694	1079	1121.552	10.578	4.351	0	27	193	271	1121.552	10.073	4.255	0	24	0-No Error	No comment
36	1772-066-262_C12	210	217	1121.552	1029.647	320.629	642	2389	160	267	1121.552	926.923	20.330	859	992	1121.552	9.817	4.158	0	23	160	267	1121.552	10.003	4.201	0	23	0-No Error	No comment
37	1772-066-262_D01	248	223	1121.552	2122.947	1276.454	749	3882	198	273	1121.552	927.622	54.967	712	1052	1121.552	10.613	4.263	0	23	198	273	1121.552	10.133	4.250	0	22	4-MultipleCells	2
38	1772-066-262_D02	213	242	1121.552	1638.302	1000.965	701	3883	163	292	1121.552	934.746	27.479	858	1059	1121.552	11.756	4.535	0	28	163	292	1121.552	10.127	4.177	0	26	0-No Error	No comment
39	1772-066-262_D03	247	222	1121.552	1811.018	1149.746	736	3882	197	272	1121.552	957.208	57.172	735	1087	1121.552	11.011	4.572	0	27	197	272	1121.552	10.566	4.236	0	22	0-No Error	No comment
40	1772-066-262_D04	244	220	1121.552	2272.197	1211.213	769	3882	194	270	1121.552	958.765	59.915	717	1122	1121.552	171.765	547.648	2	3469	194	270	1121.552	10.947	3.996	0	26	0-No Error	No comment
41	1772-066-262_D05	211	216	1121.552	1205.274	547.677	682	3597	161	266	1121.552	969.029	21.430	913	1033	1121.552	10.691	4.279	0	24	161	266	1121.552	10.795	4.148	0	24	0-No Error	No comment
42	1772-066-262_D06	246	218	1121.552	1305.366	739.960	679	3882	196	268	1121.552	935.268	57.397	721	1056	1121.552	11.296	4.567	0	24	196	268	1121.552	9.986	4.115	0	23	4-MultipleCells	Maybe
43	1772-066-262_D07	217	224	1121.552	1584.932	1022.120	718	3883	167	274	1121.552	950.628	20.295	872	1011	1121.552	10.560	4.384	0	26	167	274	1121.552	9.985	4.202	0	23	0-No Error	No comment
44	1772-066-262_D08	252	227	1121.552	2009.888	1229.875	730	3882	202	277	1121.552	960.633	61.079	709	1104	1121.552	11.251	4.436	0	27	202	277	1121.552	10.331	4.182	0	22	0-No Error	No comment
45	1772-066-262_D09	216	220	1121.552	1375.521	856.576	731	3883	166	270	1121.552	939.010	21.611	863	1066	1121.552	10.919	4.445	0	26	166	270	1121.552	10.325	4.323	0	24	0-No Error	No comment
46	1772-066-262_D10	212	224	1121.552	1133.385	439.139	689	2651	162	274	1121.552	939.440	21.642	870	1005	1121.552	10.577	4.219	0	26	162	274	1121.552	10.270	4.193	0	24	0-No Error	No comment
47	1772-066-262_D11	244	223	1121.552	1646.712	1104.664	716	3882	194	273	1121.552	956.296	60.655	710	1102	1121.552	10.518	4.430	0	23	194	273	1121.552	10.219	4.226	0	24	0-No Error	No comment
48	1772-066-262_D12	217	224	1121.552	1363.929	804.122	716	3883	167	274	1121.552	953.617	21.268	895	1012	1121.552	10.506	4.225	0	22	167	274	1121.552	10.539	4.174	0	24	0-No Error	No comment
49	1772-066-262_E01	246	184	1121.552	1321.222	864.377	710	3882	196	234	1121.552	927.559	50.894	687	1051	1121.552	10.110	4.169	0	21	196	234	1121.552	9.913	3.977	0	21	0-No Error	No comment
50	1772-066-262_E02	215	184	1121.552	1208.832	443.351	708	2432	165	234	1121.552	972.462	21.565	909	1040	1121.552	12.141	4.930	0	31	165	234	1121.552	10.959	4.031	0	24	0-No Error	No comment
51	1772-066-262_E03	252	178	1121.552	2692.912	1254.648	878	3883	202	228	1121.552	968.437	58.766	735	1103	1121.552	131.411	311.014	2	1783	202	228	1121.552	10.450	3.903	0	24	4-MultipleCells	2
52	1772-066-262_E04	241	182	1121.552	1597.352	1032.722	751	3882	191	232	1121.552	966.406	52.323	726	1096	1121.552	10.561	4.026	0	24	191	232	1121.552	10.655	4.051	0	23	0-No Error	No comment
53	1772-066-262_E05	212	183	1121.552	1610.932	973.842	730	3882	162	233	1121.552	929.122	20.672	867	1004	1121.552	10.127	4.227	0	23	162	233	1121.552	10.010	4.282	0	25	4-MultipleCells	Maybe
54	1772-066-262_E06	244	185	1121.552	1139.820	451.634	697	2751	194	235	1121.552	922.077	55.254	700	1037	1121.552	10.047	4.395	0	25	194	235	1121.552	9.791	4.279	0	23	0-No Error	No comment
55	1772-066-262_E07	218	179	1121.552	2047.004	1179.068	737	3882	168	229	1121.552	952.314	21.136	876	1009	1121.552	10.237	4.415	0	24	168	229	1121.552	9.662	4.086	0	22	4-MultipleCells	2
56	1772-066-262_E08	253	183	1121.552	1232.589	438.870	665	2582	203	233	1121.552	906.908	57.150	668	1025	1121.552	13.691	6.678	0	39	203	233	1121.552	9.186	4.247	0	20	0-No Error	No comment
57	1772-066-262_E09	219	183	1121.552	2231.591	1285.086	804	3882	169	233	1121.552	910.549	20.761	848	971	1121.552	164.620	307.662	0	1430	169	233	1121.552	9.527	4.124	0	22	0-No Error	No comment
58	1772-066-262_E10	215	185	1121.552	1187.531	639.851	645	3478	165	235	1121.552	907.589	19.907	847	961	1121.552	10.057	4.104	0	22	165	235	1121.552	9.890	4.036	0	21	0-No Error	No comment
59	1772-066-262_E11	241	188	1121.552	1526.184	1047.750	685	3882	191	238	1121.552	907.094	50.347	674	1041	1121.552	9.426	4.408	0	24	191	238	1121.552	9.939	4.097	0	22	0-No Error	No comment
60	1772-066-262_E12	211	184	1121.552	1477.297	905.099	743	3882	161	234	1121.552	966.425	20.196	908	1019	1121.552	10.779	4.457	0	26	161	234	1121.552	10.510	3.920	0	26	0-No Error	No comment
61	1772-066-262_F01	251	185	1121.552	1938.865	1205.368	744	3883	201	235	1121.552	904.492	54.619	670	1035	1121.552	9.659	4.010	0	22	201	235	1121.552	9.715	4.119	0	24	0-No Error	No comment
62	1772-066-262_F02	222	190	1121.552	1792.270	1158.031	706	3882	172	240	1121.552	902.015	20.526	791	981	1121.552	141.517	365.924	0	2337	172	240	1121.552	9.687	4.518	0	25	0-No Error	No comment
63	1772-066-262_F03	250	189	1121.552	1375.165	966.040	668	3883	200	239	1121.552	887.876	52.193	660	1026	1121.552	9.242	4.207	0	21	200	239	1121.552	9.707	4.187	0	24	0-No Error	No comment
64	1772-066-262_F04	246	194	1121.552	1138.208	438.986	650	2707	196	244	1121.552	887.679	54.448	644	1010	1121.552	9.314	4.405	0	22	196	244	1121.552	10.116	4.070	0	25	0-No Error	No comment
65	1772-066-262_F05	219	184	1121.552	1261.553	752.411	685	3882	169	234	1121.552	906.573	19.826	834	959	1121.552	10.193	4.202	0	24	169	234	1121.552	9.869	4.140	0	25	0-No Error	No comment
