 	cell_id	cell_coord_x	cell_coord_y	area	mean_ch2	std_ch2	min_ch2	max_ch2	bg_coord_ch2_x	bg_coord_ch2_y	bg_area_ch2	bg_mean_ch2	bg_std_ch2	bg_min_ch2	bg_max_ch2	area_h3	mean_ch3	std_ch3	min_ch3	max_ch3	bg_coord_ch3_x	bg_coord_ch3_y	bg_area_ch3	bg_mean_ch3	bg_std_ch3	bg_min_ch3	bg_max_ch3	Error	Comment
1	1772-066-263_A01	260	192	1121.552	2148.608	1220.388	871	3882	210	242	1121.552	980.447	52.893	731	1095	1121.552	176.451	521.635	0	3446	210	242	1121.552	9.835	4.238	0	23	0-No Error	No comment
2	1772-066-263_A02	233	188	1121.552	1916.714	1180.046	780	3882	183	238	1121.552	1005.256	21.010	933	1070	1121.552	10.381	4.406	0	23	183	238	1121.552	10.615	4.251	0	24	0-No Error	No comment
3	1772-066-263_A03	263	194	1121.552	1793.307	1138.089	783	3882	213	244	1121.552	1025.173	59.560	777	1195	1121.552	10.929	4.444	0	26	213	244	1121.552	10.568	4.219	0	23	0-No Error	No comment
4	1772-066-263_A04	261	196	1121.552	2023.444	1156.510	793	3882	211	246	1121.552	1005.471	57.274	786	1132	1121.552	10.511	4.306	0	25	211	246	1121.552	10.492	4.147	0	24	0-No Error	No comment
5	1772-066-263_A05	226	184	1121.552	1662.758	886.811	784	3882	176	234	1121.552	995.622	22.660	907	1091	1121.552	10.492	4.333	0	22	176	234	1121.552	10.554	4.279	0	23	0-No Error	No comment
6	1772-066-263_A06	257	185	1121.552	1358.049	473.688	768	2647	207	235	1121.552	967.758	57.477	746	1092	1121.552	11.313	4.265	0	25	207	235	1121.552	9.789	4.176	0	22	4-MultipleCells	Maybe
7	1772-066-263_A07	235	189	1121.552	1888.173	1153.124	796	3882	185	239	1121.552	973.953	22.690	906	1050	1121.552	15.423	12.822	0	86	185	239	1121.552	10.303	4.024	0	22	0-No Error	No comment
8	1772-066-263_A08	265	194	1121.552	1824.772	1141.971	736	3882	215	244	1121.552	971.359	59.490	721	1109	1121.552	10.504	4.436	0	24	215	244	1121.552	9.912	4.184	0	22	0-No Error	No comment
9	1772-066-263_A09	227	188	1121.552	2185.536	1198.985	868	3882	177	238	1121.552	975.616	24.205	910	1217	1121.552	143.486	305.319	0	1697	177	238	1121.552	10.782	4.356	0	23	0-No Error	No comment
10	1772-066-263_A10	224	180	1121.552	2006.177	1181.877	785	3882	174	230	1121.552	971.554	21.463	912	1050	1121.552	22.434	30.645	0	219	174	230	1121.552	10.529	4.177	0	22	2-Debris	No comment
11	1772-066-263_A11	258	177	1121.552	1365.698	685.607	751	3882	208	227	1121.552	965.279	58.847	734	1070	1121.552	10.311	4.268	0	25	208	227	1121.552	10.271	4.191	0	23	0-No Error	No comment
12	1772-066-263_A12	222	194	1121.552	1711.063	1085.655	736	3882	172	244	1121.552	973.271	21.586	889	1041	1121.552	10.211	4.192	0	24	172	244	1121.552	10.616	4.218	0	24	4-MultipleCells	Maybe
13	1772-066-263_B01	267	186	1121.552	1650.934	1090.132	739	3882	217	236	1121.552	963.534	57.879	722	1116	1121.552	10.605	4.407	0	26	217	236	1121.552	10.204	4.047	0	23	0-No Error	No comment
14	1772-066-263_B02	235	186	1121.552	1712.087	1101.238	728	3882	185	236	1121.552	970.742	20.349	914	1033	1121.552	10.603	4.198	0	25	185	236	1121.552	9.739	4.079	0	25	0-No Error	No comment
15	1772-066-263_B03	268	189	1121.552	1397.810	668.350	780	3882	218	239	1121.552	970.416	60.693	708	1106	1121.552	13.387	6.346	0	35	218	239	1121.552	9.926	4.343	0	28	0-No Error	No comment
16	1772-066-263_B04	261	195	1121.552	1642.064	1036.224	727	3882	211	245	1121.552	968.490	59.595	731	1092	1121.552	10.697	4.476	0	27	211	245	1121.552	10.964	3.994	0	24	4-MultipleCells	Maybe
17	1772-066-263_B05	228	196	1121.552	1417.013	730.568	724	3882	178	246	1121.552	969.346	23.225	874	1153	1121.552	11.078	4.314	0	23	178	246	1121.552	10.080	4.172	0	22	4-MultipleCells	Maybe
18	1772-066-263_B06	259	188	1121.552	1864.524	1177.041	750	3882	209	238	1121.552	961.965	57.401	732	1087	1121.552	10.982	4.490	0	23	209	238	1121.552	10.274	4.183	0	23	0-No Error	No comment
19	1772-066-263_B07	237	193	1121.552	2041.626	1148.899	869	3882	187	243	1121.552	957.661	20.351	872	1018	1121.552	10.098	4.161	0	25	187	243	1121.552	10.508	4.102	0	23	0-No Error	No comment
20	1772-066-263_B08	270	185	1121.552	2908.750	1118.183	990	3882	220	235	1121.552	956.828	31.809	865	1053	1121.552	10.345	4.464	0	26	220	235	1121.552	9.531	4.240	0	27	3-OutOfFocus	No comment
21	1772-066-263_B09	236	198	1121.552	3057.258	1000.181	968	3882	186	248	1121.552	964.553	20.687	905	1027	1121.552	10.894	4.228	0	23	186	248	1121.552	10.722	4.196	0	23	3-OutOfFocus	No comment
22	1772-066-263_B10	229	194	1121.552	1522.402	1010.431	720	3882	179	244	1121.552	966.486	23.434	893	1166	1121.552	10.936	4.399	0	25	179	244	1121.552	10.144	4.368	0	24	0-No Error	No comment
23	1772-066-263_B11	264	191	1121.552	1316.443	216.447	925	1766	214	241	1121.552	953.075	30.186	858	1043	1121.552	10.263	4.093	0	23	214	241	1121.552	9.839	4.232	0	24	3-OutOfFocus	No comment
